route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2610,4705,261__1__416__UZM__4705__4705,,1,,[@6.0.93603882@]2,,2
140,5_4,14__1__736__NBM__5__4__5__4,,1,,[@360.0.6959154@]5,,2
120,212_4,12__0__105__NBM__212__4__212__4,,0,,[@360.0.6960706@]2,,2
1300,412,130__1__412__TZM__412__412,,1,,[@356.0.42934843@]1,,2
231,140,23e__0__117__TZM__140__140,,0,,[@356.0.16077712@]2,,2
1140,508,114__0__423__TZM__508__508,,0,,[@356.0.42935130@]2,,2
5,Rail SaSu+Hol,HVL__1__3841__RAIL__Rail_SaSu+Hol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2
2200,307_2,220__1__206__TZM__307__2__307__2,,1,,[@356.0.45924825@]5,,2
180,16_3,18__0__725__NBM__16__3__16__3,,0,,[@360.0.6959190@]2,,2
20,32_6,2__1__240__NBM__32__6__32__6,,1,,[@360.0.6960693@]2,,2
2,Rail Sa-XSun,KPL__1__6471__RAIL__Rail_Sa-XSun,,1,,[@6.0.20608271@]KPL:807#24379#24391,,2
1700,601_1,170__0__435__TZM__601__1__601__1,,0,,[@356.0.42935339@]170:564#18381#18436,,2
520,2051,52__1__402__MNM__2051__2051,,1,,[@360.0.6959370@]52:307#10264#10319,,2
9,CCL Sa,CCL__1__10488__WCCL__CCL_Sa,,1,,[@6.0.98043685@]CCL:857#24726#24728,,2
6,Rail MTuWThF-XHol,JVL__1__9219__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2
1600,612,160__1__152__TZM__612__612,,1,,[@356.0.42935312@]160:541#17580#17616,,2
240,115,24__0__723__TZM__115__115,,0,,[@356.0.16077727@]2,,2
600,1021,60__0__705__MNM__1021__1021,,0,,[@356.0.29339884@]2,,2
20,13_6,2__1__260__NBM__13__6__13__6,,1,,[@360.0.6960693@]2,,2
