service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
319,0,0,0,0,0,0,0,20200719,20201219
610,0,0,0,0,0,0,0,20200719,20201219
510_1,0,0,0,0,0,0,0,20200719,20201219
158_1,0,0,0,0,0,0,0,20200719,20201219
3411,0,0,0,0,0,0,0,20200719,20201219
304_2,0,0,0,0,0,0,0,20200719,20201219
32_6,0,0,0,0,0,0,0,20200719,20201219
433,0,0,0,0,0,0,0,20200719,20201219
3332,0,0,0,0,0,0,0,20200719,20201219
113,0,0,0,0,0,0,0,20200719,20201219
3062,0,0,0,0,0,0,0,20200719,20201219
2062,0,0,0,0,0,0,0,20200719,20201219
902,0,0,0,0,0,0,0,20200719,20201219
150,0,0,0,0,0,0,0,20200719,20201219
512_1,0,0,0,0,0,0,0,20200719,20201219
5_4,0,0,0,0,0,0,0,20200719,20201219
303_1,0,0,0,0,0,0,0,20200719,20201219
201_6,0,0,0,0,0,0,0,20200719,20201219
3291,0,0,0,0,0,0,0,20200719,20201219
301_2,0,0,0,0,0,0,0,20200719,20201219
33_5,0,0,0,0,0,0,0,20200719,20201219
101_3,0,0,0,0,0,0,0,20200719,20201219
521_1,0,0,0,0,0,0,0,20200719,20201219
70_1,0,0,0,0,0,0,0,20200719,20201219
401_2,0,0,0,0,0,0,0,20200719,20201219
605_2,0,0,0,0,0,0,0,20200719,20201219
28_4,0,0,0,0,0,0,0,20200719,20201219
419,0,0,0,0,0,0,0,20200719,20201219
66_1,0,0,0,0,0,0,0,20200719,20201219
25_5,0,0,0,0,0,0,0,20200719,20201219
437,0,0,0,0,0,0,0,20200719,20201219
3301_1,0,0,0,0,0,0,0,20200719,20201219
212_1,0,0,0,0,0,0,0,20200719,20201219
154,0,0,0,0,0,0,0,20200719,20201219
1300,0,0,0,0,0,0,0,20200719,20201219
307_1,0,0,0,0,0,0,0,20200719,20201219
4106_1,0,0,0,0,0,0,0,20200719,20201219
109_2,0,0,0,0,0,0,0,20200719,20201219
111_2,0,0,0,0,0,0,0,20200719,20201219
131,0,0,0,0,0,0,0,20200719,20201219
3071,0,0,0,0,0,0,0,20200719,20201219
3192,0,0,0,0,0,0,0,20200719,20201219
151,0,0,0,0,0,0,0,20200719,20201219
401,0,0,0,0,0,0,0,20200719,20201219
4_6,0,0,0,0,0,0,0,20200719,20201219
424,0,0,0,0,0,0,0,20200719,20201219
5_6,0,0,0,0,0,0,0,20200719,20201219
1052,0,0,0,0,0,0,0,20200719,20201219
69_1,0,0,0,0,0,0,0,20200719,20201219
505_2,0,0,0,0,0,0,0,20200719,20201219
35_5,0,0,0,0,0,0,0,20200719,20201219
1_1,0,0,0,0,0,0,0,20200719,20201219
206_6,0,0,0,0,0,0,0,20200719,20201219
2061,0,0,0,0,0,0,0,20200719,20201219
210,0,0,0,0,0,0,0,20200719,20201219
302_3,0,0,0,0,0,0,0,20200719,20201219
3011,0,0,0,0,0,0,0,20200719,20201219
526,0,0,0,0,0,0,0,20200719,20201219
506_1,0,0,0,0,0,0,0,20200719,20201219
10_5,0,0,0,0,0,0,0,20200719,20201219
223,0,0,0,0,0,0,0,20200719,20201219
37_5,0,0,0,0,0,0,0,20200719,20201219
90,0,0,0,0,0,0,0,20200719,20201219
3201,0,0,0,0,0,0,0,20200719,20201219
409,0,0,0,0,0,0,0,20200719,20201219
504_2,0,0,0,0,0,0,0,20200719,20201219
128,0,0,0,0,0,0,0,20200719,20201219
200_3,0,0,0,0,0,0,0,20200719,20201219
19_3,0,0,0,0,0,0,0,20200719,20201219
205_1,0,0,0,0,0,0,0,20200719,20201219
3012,0,0,0,0,0,0,0,20200719,20201219
3133,0,0,0,0,0,0,0,20200719,20201219
107_1,0,0,0,0,0,0,0,20200719,20201219
204_3,0,0,0,0,0,0,0,20200719,20201219
409_1,0,0,0,0,0,0,0,20200719,20201219
3161,0,0,0,0,0,0,0,20200719,20201219
1021,0,0,0,0,0,0,0,20200719,20201219
503,0,0,0,0,0,0,0,20200719,20201219
19_4,0,0,0,0,0,0,0,20200719,20201219
150_2,0,0,0,0,0,0,0,20200719,20201219
202_7,0,0,0,0,0,0,0,20200719,20201219
35_3,0,0,0,0,0,0,0,20200719,20201219
1001_1,0,0,0,0,0,0,0,20200719,20201219
911_2,0,0,0,0,0,0,0,20200719,20201219
115,0,0,0,0,0,0,0,20200719,20201219
504_1,0,0,0,0,0,0,0,20200719,20201219
8_5,0,0,0,0,0,0,0,20200719,20201219
5_3,0,0,0,0,0,0,0,20200719,20201219
206,0,0,0,0,0,0,0,20200719,20201219
312_1,0,0,0,0,0,0,0,20200719,20201219
39_4,0,0,0,0,0,0,0,20200719,20201219
304_1,0,0,0,0,0,0,0,20200719,20201219
509,0,0,0,0,0,0,0,20200719,20201219
