service_id,date,exception_type
3211,20200720,1
3211,20200721,1
3211,20200722,1
3211,20200723,1
3211,20200724,1
3211,20200727,1
3211,20200728,1
3211,20200729,1
3211,20200730,1
3211,20200731,1
3211,20200803,1
3211,20200804,1
3211,20200805,1
3211,20200806,1
3211,20200807,1
3211,20200810,1
3211,20200811,1
3211,20200812,1
3211,20200813,1
3211,20200814,1
3211,20200817,1
3211,20200818,1
3211,20200819,1
3211,20200820,1
3211,20200821,1
61_1,20200720,1
61_1,20200721,1
61_1,20200722,1
61_1,20200723,1
61_1,20200724,1
61_1,20200727,1
61_1,20200728,1
61_1,20200729,1
61_1,20200730,1
61_1,20200731,1
61_1,20200803,1
61_1,20200804,1
61_1,20200805,1
61_1,20200806,1
61_1,20200807,1
61_1,20200810,1
61_1,20200811,1
61_1,20200812,1
61_1,20200813,1
61_1,20200814,1
61_1,20200817,1
61_1,20200818,1
61_1,20200819,1
61_1,20200820,1
61_1,20200821,1
3142,20200720,1
3142,20200721,1
3142,20200722,1
3142,20200723,1
3142,20200724,1
3142,20200727,1
3142,20200728,1
3142,20200729,1
3142,20200730,1
3142,20200731,1
3142,20200803,1
3142,20200804,1
3142,20200805,1
3142,20200806,1
3142,20200807,1
3142,20200810,1
3142,20200811,1
3142,20200812,1
3142,20200813,1
3142,20200814,1
3142,20200817,1
3142,20200818,1
3142,20200819,1
3142,20200820,1
3142,20200821,1
15_4,20200725,1
15_4,20200801,1
15_4,20200808,1
15_4,20200815,1
15_4,20200822,1
419,20200725,1
419,20200801,1
419,20200808,1
419,20200815,1
419,20200822,1
21_4,20200725,1
21_4,20200801,1
21_4,20200808,1
21_4,20200815,1
21_4,20200822,1
115_2,20200720,1
115_2,20200721,1
115_2,20200722,1
115_2,20200723,1
115_2,20200724,1
115_2,20200727,1
115_2,20200728,1
115_2,20200729,1
115_2,20200730,1
115_2,20200731,1
115_2,20200803,1
115_2,20200804,1
115_2,20200805,1
115_2,20200806,1
115_2,20200807,1
115_2,20200810,1
115_2,20200811,1
115_2,20200812,1
115_2,20200813,1
115_2,20200814,1
115_2,20200817,1
115_2,20200818,1
115_2,20200819,1
115_2,20200820,1
115_2,20200821,1
82,20200720,1
82,20200721,1
82,20200722,1
82,20200723,1
82,20200724,1
82,20200727,1
82,20200728,1
82,20200729,1
82,20200730,1
82,20200731,1
82,20200803,1
82,20200804,1
82,20200805,1
82,20200806,1
82,20200807,1
82,20200810,1
82,20200811,1
82,20200812,1
82,20200813,1
82,20200814,1
82,20200817,1
82,20200818,1
82,20200819,1
82,20200820,1
82,20200821,1
611_1,20200720,1
611_1,20200721,1
611_1,20200722,1
611_1,20200723,1
611_1,20200724,1
611_1,20200727,1
611_1,20200728,1
611_1,20200729,1
611_1,20200730,1
611_1,20200731,1
611_1,20200803,1
611_1,20200804,1
611_1,20200805,1
611_1,20200806,1
611_1,20200807,1
611_1,20200810,1
611_1,20200811,1
611_1,20200812,1
611_1,20200813,1
611_1,20200814,1
611_1,20200817,1
611_1,20200818,1
611_1,20200819,1
611_1,20200820,1
611_1,20200821,1
27_4,20200725,1
27_4,20200801,1
27_4,20200808,1
27_4,20200815,1
27_4,20200822,1
203_7,20200725,1
203_7,20200801,1
203_7,20200808,1
203_7,20200815,1
203_7,20200822,1
509,20200725,1
509,20200801,1
509,20200808,1
509,20200815,1
509,20200822,1
111_3,20200720,1
111_3,20200721,1
111_3,20200722,1
111_3,20200723,1
111_3,20200724,1
111_3,20200727,1
111_3,20200728,1
111_3,20200729,1
111_3,20200730,1
111_3,20200731,1
111_3,20200803,1
111_3,20200804,1
111_3,20200805,1
111_3,20200806,1
111_3,20200807,1
111_3,20200810,1
111_3,20200811,1
111_3,20200812,1
111_3,20200813,1
111_3,20200814,1
111_3,20200817,1
111_3,20200818,1
111_3,20200819,1
111_3,20200820,1
111_3,20200821,1
1062,20200719,1
1062,20200726,1
1062,20200802,1
1062,20200809,1
1062,20200816,1
Rail F-XHol,20200724,1
Rail F-XHol,20200731,1
Rail F-XHol,20200807,1
Rail F-XHol,20200814,1
Rail F-XHol,20200821,1
428,20200720,1
428,20200721,1
428,20200722,1
428,20200723,1
428,20200724,1
428,20200727,1
428,20200728,1
428,20200729,1
428,20200730,1
428,20200731,1
428,20200803,1
428,20200804,1
428,20200805,1
428,20200806,1
428,20200807,1
428,20200810,1
428,20200811,1
428,20200812,1
428,20200813,1
428,20200814,1
428,20200817,1
428,20200818,1
428,20200819,1
428,20200820,1
428,20200821,1
CCL Su+Hol-Xmas,20200719,1
CCL Su+Hol-Xmas,20200726,1
CCL Su+Hol-Xmas,20200802,1
CCL Su+Hol-Xmas,20200809,1
CCL Su+Hol-Xmas,20200816,1
205_10,20200720,1
205_10,20200721,1
205_10,20200722,1
205_10,20200723,1
205_10,20200724,1
205_10,20200727,1
205_10,20200728,1
205_10,20200729,1
205_10,20200730,1
205_10,20200731,1
205_10,20200803,1
205_10,20200804,1
205_10,20200805,1
205_10,20200806,1
205_10,20200807,1
205_10,20200810,1
205_10,20200811,1
205_10,20200812,1
205_10,20200813,1
205_10,20200814,1
205_10,20200817,1
205_10,20200818,1
205_10,20200819,1
205_10,20200820,1
205_10,20200821,1
502_1,20200725,1
502_1,20200801,1
502_1,20200808,1
502_1,20200815,1
502_1,20200822,1
404,20200719,1
404,20200726,1
404,20200802,1
404,20200809,1
404,20200816,1
Rail SaSu+Hol,20200719,1
Rail SaSu+Hol,20200725,1
Rail SaSu+Hol,20200726,1
Rail SaSu+Hol,20200801,1
Rail SaSu+Hol,20200802,1
Rail SaSu+Hol,20200808,1
Rail SaSu+Hol,20200809,1
Rail SaSu+Hol,20200815,1
Rail SaSu+Hol,20200816,1
Rail SaSu+Hol,20200822,1
215,20200720,1
215,20200721,1
215,20200722,1
215,20200723,1
215,20200724,1
215,20200727,1
215,20200728,1
215,20200729,1
215,20200730,1
215,20200731,1
215,20200803,1
215,20200804,1
215,20200805,1
215,20200806,1
215,20200807,1
215,20200810,1
215,20200811,1
215,20200812,1
215,20200813,1
215,20200814,1
215,20200817,1
215,20200818,1
215,20200819,1
215,20200820,1
215,20200821,1
3102,20200720,1
3102,20200721,1
3102,20200722,1
3102,20200723,1
3102,20200724,1
3102,20200727,1
3102,20200728,1
3102,20200729,1
3102,20200730,1
3102,20200731,1
3102,20200803,1
3102,20200804,1
3102,20200805,1
3102,20200806,1
3102,20200807,1
3102,20200810,1
3102,20200811,1
3102,20200812,1
3102,20200813,1
3102,20200814,1
3102,20200817,1
3102,20200818,1
3102,20200819,1
3102,20200820,1
3102,20200821,1
200_4,20200725,1
200_4,20200801,1
200_4,20200808,1
200_4,20200815,1
200_4,20200822,1
1052,20200719,1
1052,20200726,1
1052,20200802,1
1052,20200809,1
1052,20200816,1
112_2,20200720,1
112_2,20200721,1
112_2,20200722,1
112_2,20200723,1
112_2,20200724,1
112_2,20200727,1
112_2,20200728,1
112_2,20200729,1
112_2,20200730,1
112_2,20200731,1
112_2,20200803,1
112_2,20200804,1
112_2,20200805,1
112_2,20200806,1
112_2,20200807,1
112_2,20200810,1
112_2,20200811,1
112_2,20200812,1
112_2,20200813,1
112_2,20200814,1
112_2,20200817,1
112_2,20200818,1
112_2,20200819,1
112_2,20200820,1
112_2,20200821,1
603_2,20200720,1
603_2,20200721,1
603_2,20200722,1
603_2,20200723,1
603_2,20200724,1
603_2,20200727,1
603_2,20200728,1
603_2,20200729,1
603_2,20200730,1
