from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
6055,6017,2,240,1__1__510__TZM__1__1__1__1,23__0__455__TZM__114__1__114__1
PORI2,2001,2,0,KPL__0__6352__RAIL__Rail_MTuWThF-XHol,220__0__203__TZM__313__313
6224,6224,2,240,2__1__450__NBM__17__4__17__4,12__0__419__NBM__10__4__10__4
PORI2,2003,2,0,KPL__0__6436__RAIL__Rail_SaSu+Hol,220__1__716__TZM__302__302
6055,6017,2,240,1__1__202__TZM__203__2__203__2,23__0__145__TZM__106__1__106__1
MELL,9150,2,240,MEL__0__5618__RAIL__Rail_MTuWThF-XHol,145__0__105__TZM__406__2__406__2
7720,7700,2,60,29__1__404__TZM__103__1__103__1,7__1__412__TZM__204__2__204__2
PARA2,1001,2,240,KPL__0__6456__RAIL__Rail_SaSu+Hol,262__0__723__UZM__4101__4101
UPPE,8579,2,240,HVL__0__3854__RAIL__Rail_SaSu+Hol,110__0__735__TZM__501__501
UPPE,8579,2,240,HVL__0__3664__RAIL__Rail_MTuWThF-XHol,110__0__101__TZM__515__515
3000,3000,2,120,1__0__107__TZM__114__2__114__2,60__0__105__MNM__3301__1__3301__1
3000,3000,2,120,1__0__107__TZM__114__2__114__2,60__0__105__MNM__3301__3301
2002,PORI2,2,0,60__0__421__MNM__2031__2031,KPL__0__6438__RAIL__Rail_SaSu+Hol
PORI2,2003,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,226__0__143__TZM__315__315
PORI2,2003,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,226__0__143__TZM__315__1__315__1
7017,7017,2,120,23__1__708__TZM__114__114,1__0__727__TZM__108__108
8165,WATE1,2,0,130__1__712__TZM__406__406,HVL__1__3825__RAIL__Rail_SaSu+Hol
2001,PORI1,2,0,220__0__109__TZM__303__3__303__3,KPL__1__7209__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__109__TZM__303__4__303__4,KPL__1__7209__RAIL__Rail_MTuWThF-XHol
2003,PORI1,2,0,220__1__106__TZM__307__2__307__2,KPL__1__7209__RAIL__Rail_MTuWThF-XHol
1001,PARA1,2,0,261__1__102__UZM__1033__1033,KPL__1__6211__RAIL__Rail_MTuWThF-XHol
7083,7083,2,120,18__1__402__NBM__11__4__11__4,2__0__413__NBM__25__4__25__4
PORI2,2001,2,0,KPL__0__6228__RAIL__Rail_MTuWThF-XHol,220__0__123__TZM__314__314
PORI2,2001,2,0,KPL__0__6228__RAIL__Rail_MTuWThF-XHol,220__0__123__TZM__314__1__314__1
WATE2,9140,2,0,HVL__0__3822__RAIL__Rail_SaSu+Hol,170__0__705__TZM__602__602
2002,PORI2,2,0,60__0__405__MNM__2101__2101,KPL__0__6422__RAIL__Rail_SaSu+Hol
7017,7017,2,120,23__1__112__TZM__111__3__111__3,1__0__137__TZM__1__2__1__2
6720,7720,2,120,7__0__179__TZM__136__136,29__0__139__TZM__109__2__109__2
7017,7017,2,120,23__1__430__TZM__105__1__105__1,1__0__461__TZM__111__2__111__2
8580,UPPE,2,240,112__1__408__TZM__508__508,HVL__1__3831__RAIL__Rail_SaSu+Hol
6720,7720,2,120,7__0__487__TZM__204__2__204__2,29__0__447__TZM__102__1__102__1
PETO2,9001,2,0,MEL__0__5640__RAIL__Rail_MTuWThF-XHol,150__0__147__TZM__403__3__403__3
PETO2,9001,2,0,HVL__0__4624__RAIL__Rail_MTuWThF-XHol,150__0__147__TZM__403__3__403__3
3000,3000,2,120,1__0__257__TZM__234__234,60__0__159__MNM__3042__3042
1001,PARA1,2,0,261__1__120__UZM__1312__1312,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
WAIK,1501,2,240,KPL__0__6344__RAIL__Rail_MTuWThF-XHol,280__0__155__UZM__1108__1108
7017,7017,2,120,23__1__442__TZM__105__1__105__1,1__0__485__TZM__112__1__112__1
6733,6730,2,120,7__0__725__TZM__106__106,23__0__723__TZM__107__107
PORI2,2001,2,0,KPL__0__6224__RAIL__Rail_MTuWThF-XHol,210__0__109__TZM__321__321
PORI2,2001,2,0,KPL__0__6224__RAIL__Rail_MTuWThF-XHol,210__0__109__TZM__321__1__321__1
7017,7017,2,120,29__0__435__TZM__114__1__114__1,1__0__477__TZM__116__1__116__1
PORI2,2001,2,0,KPL__0__6458__RAIL__Rail_SaSu+Hol,226__0__447__TZM__308__308
WATE2,9140,2,0,HVL__0__3850__RAIL__Rail_SaSu+Hol,170__0__443__TZM__604__604
8165,WATE1,2,0,130__1__130__TZM__439__439,HVL__1__2629__RAIL__Rail_MTuWThF-XHol
WAIK,1501,2,240,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,280__0__145__UZM__3433__3433
1501,WAIK,2,240,290__0__709__UZM__4106__1__4106__1,KPL__1__6451__RAIL__Rail_SaSu+Hol
1501,WAIK,2,240,290__0__409__UZM__4706__1__4706__1,KPL__1__6451__RAIL__Rail_SaSu+Hol
9001,PETO1,2,0,154__0__417__TZM__407__1__407__1,HVL__1__3847__RAIL__Rail_SaSu+Hol
6224,6224,2,240,2__1__214__NBM__32__6__32__6,12__0__147__NBM__122__2__122__2
WAIK,1501,2,240,KPL__0__6444__RAIL__Rail_SaSu+Hol,280__0__717__UZM__4102__4102
6224,6224,2,240,2__1__462__NBM__44__1__44__1,12__0__425__NBM__22__4__22__4
6224,6224,2,240,2__1__740__NBM__31__4__31__4,12__0__709__NBM__30__3__30__3
6224,6224,2,240,2__1__136__NBM__120__3__120__3,12__0__119__NBM__115__4__115__4
3081,3081,2,120,19__0__155__TZM__130__130,1__1__196__TZM__232__232
WATE2,9165,2,0,HVL__0__4616__RAIL__Rail_MTuWThF-XHol,130__0__173__TZM__409__1__409__1
WAIK,1501,2,240,KPL__0__6236__RAIL__Rail_MTuWThF-XHol,280__0__127__UZM__808__808
PORI2,2002,2,0,KPL__0__6452__RAIL__Rail_SaSu+Hol,230__0__421__TZM__303__2__303__2
PORI2,2001,2,0,KPL__0__6424__RAIL__Rail_SaSu+Hol,210__0__405__TZM__305__1__305__1
